Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),,-9.5,37,16,28133,335,16,7,44,12,1235|2532|2798|3576|57007|256933|257313,CCR6|ACKR1|GNRHR|CXCL8|ACKR3|NPB|UTS2B,-5.1
MyList,Reactome Gene Sets,6,R-HSA-375276,Peptide ligand-binding receptors,,-9,52,17,28133,201,16,6,38,12,1235|2532|3576|57007|256933|257313,CCR6|ACKR1|CXCL8|ACKR3|NPB|UTS2B,-5
MyList,Reactome Gene Sets,6,R-HSA-500792,GPCR ligand binding,,-8.5,26,13,28133,467,16,7,44,12,1235|2532|2798|3576|57007|256933|257313,CCR6|ACKR1|GNRHR|CXCL8|ACKR3|NPB|UTS2B,-4.8
MyList,GO Biological Processes,19,GO:0070098,chemokine-mediated signaling pathway,19_GO:0023052 signaling,-6.8,80,18,28133,88,16,4,25,11,1235|2532|3576|57007,CCR6|ACKR1|CXCL8|ACKR3,-3.7
MyList,GO Biological Processes,19,GO:1990868,response to chemokine,19_GO:0050896 response to stimulus,-6.6,73,17,28133,97,16,4,25,11,1235|2532|3576|57007,CCR6|ACKR1|CXCL8|ACKR3,-3.6
MyList,GO Biological Processes,19,GO:1990869,cellular response to chemokine,19_GO:0050896 response to stimulus,-6.6,73,17,28133,97,16,4,25,11,1235|2532|3576|57007,CCR6|ACKR1|CXCL8|ACKR3,-3.6
MyList,KEGG Pathway,24,ko04060,Cytokine-cytokine receptor interaction,,-6.5,33,12,28133,270,16,5,31,12,1235|3576|56832|57007|163702,CCR6|CXCL8|IFNK|ACKR3|IFNLR1,-3.5
MyList,KEGG Pathway,24,hsa04060,Cytokine-cytokine receptor interaction,,-6.1,27,11,28133,328,16,5,31,12,1235|3576|56832|57007|163702,CCR6|CXCL8|IFNK|ACKR3|IFNLR1,-3.1
MyList,GO Biological Processes,19,GO:0044344,cellular response to fibroblast growth factor stimulus,19_GO:0050896 response to stimulus,-6,50,14,28133,142,16,4,25,11,1490|2250|3576|27006,CCN2|FGF5|CXCL8|FGF22,-3
MyList,GO Biological Processes,19,GO:0071774,response to fibroblast growth factor,19_GO:0050896 response to stimulus,-5.9,48,14,28133,148,16,4,25,11,1490|2250|3576|27006,CCN2|FGF5|CXCL8|FGF22,-3
MyList,Reactome Gene Sets,6,R-HSA-380108,Chemokine receptors bind chemokines,,-5.3,89,16,28133,59,16,3,19,9.8,1235|3576|57007,CCR6|CXCL8|ACKR3,-2.5
MyList,WikiPathways,27,WP24,Peptide GPCRs,,-5,70,14,28133,75,16,3,19,9.8,1235|2532|2798,CCR6|ACKR1|GNRHR,-2.2
MyList,GO Biological Processes,19,GO:0001525,angiogenesis,19_GO:0032502 developmental process,-4.8,15,8.2,28133,588,16,5,31,12,506|1490|3576|4856|57007,ATP5F1B|CCN2|CXCL8|CCN3|ACKR3,-2.1
MyList,GO Biological Processes,19,GO:0060326,cell chemotaxis,19_GO:0040011 locomotion,-4.6,23,9.2,28133,307,16,4,25,11,1235|3576|4856|57007,CCR6|CXCL8|CCN3|ACKR3,-1.9
MyList,GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-4.6,13,7.5,28133,677,16,5,31,12,506|1490|3576|4856|57007,ATP5F1B|CCN2|CXCL8|CCN3|ACKR3,-1.8
MyList,GO Biological Processes,19,GO:0008543,fibroblast growth factor receptor signaling pathway,19_GO:0023052 signaling,-4.5,47,12,28133,113,16,3,19,9.8,1490|2250|27006,CCN2|FGF5|FGF22,-1.8
MyList,Canonical Pathways,11,M5883,NABA SECRETED FACTORS,,-4.5,21,8.7,28133,343,16,4,25,11,2250|3576|27006|56832,FGF5|CXCL8|FGF22|IFNK,-1.8
MyList,GO Biological Processes,19,GO:0002688,regulation of leukocyte chemotaxis,19_GO:0040011 locomotion,-4.4,44,11,28133,119,16,3,19,9.8,1235|3576|4856,CCR6|CXCL8|CCN3,-1.8
MyList,GO Biological Processes,19,GO:0008285,negative regulation of cell proliferation,19_GO:0008283 cell proliferation,-4.3,12,7.1,28133,753,16,5,31,12,3576|4856|56832|57007|163702,CXCL8|CCN3|IFNK|ACKR3|IFNLR1,-1.7
MyList,GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-4.3,12,7.1,28133,754,16,5,31,12,506|1490|3576|4856|57007,ATP5F1B|CCN2|CXCL8|CCN3|ACKR3,-1.7
MyList,GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-4.2,11,6.9,28133,786,16,5,31,12,506|1490|3576|4856|57007,ATP5F1B|CCN2|CXCL8|CCN3|ACKR3,-1.7
MyList,GO Biological Processes,19,GO:0072358,cardiovascular system development,19_GO:0032502 developmental process,-4.2,11,6.9,28133,786,16,5,31,12,506|1490|3576|4856|57007,ATP5F1B|CCN2|CXCL8|CCN3|ACKR3,-1.7
MyList,Reactome Gene Sets,6,R-HSA-418594,G alpha (i) signalling events,,-4.2,17,7.9,28133,405,16,4,25,11,1235|3576|57007|256933,CCR6|CXCL8|ACKR3|NPB,-1.6
MyList,GO Biological Processes,19,GO:0007286,spermatid development,19_GO:0022414 reproductive process,-4.1,34,9.8,28133,155,16,3,19,9.8,1235|5819|25945,CCR6|NECTIN2|NECTIN3,-1.5
MyList,GO Biological Processes,19,GO:0048515,spermatid differentiation,19_GO:0022414 reproductive process,-4,33,9.6,28133,161,16,3,19,9.8,1235|5819|25945,CCR6|NECTIN2|NECTIN3,-1.5
