Sending cluster name,Target cluster name,Total expression,Total specificity,Edge count,Average expression,Average specificity
CAF (1753 cells),TAM (1128 cells),154.37378798776982,12.48217444846227,181,0.8528938562860211,0.06896228977050978
CAF (1753 cells),EMT (989 cells),153.79433164169967,14.329874480735297,196,0.7846649573556106,0.07311160449354744
CAF (1753 cells),Endo (138 cells),138.7144215695669,16.369159004682203,184,0.7538827259215592,0.08896282067762067
CAF (1753 cells),CAF (1753 cells),130.56438488692837,11.07644955897835,139,0.9393121214886933,0.07968668747466438
TAM (1128 cells),TAM (1128 cells),125.54913219945638,11.31516933694268,147,0.8540757292480026,0.07697394106763727
Endo (138 cells),TAM (1128 cells),122.19888580679907,10.337883247843784,166,0.7361378663060185,0.062276405107492674
Endo (138 cells),Endo (138 cells),121.01644860432008,21.827727645241158,188,0.6437045138527664,0.11610493428319765
Endo (138 cells),EMT (989 cells),119.32337681704576,12.368331949714582,184,0.6484966131361183,0.0672191953788836
EMT (989 cells),EMT (989 cells),116.66992687030864,11.378787836365266,194,0.6013913756201477,0.058653545548274566
CAF (1753 cells),ETC (3615 cells),115.10059547746665,10.08004130128762,146,0.788360242996347,0.0690413787759426
EMT (989 cells),TAM (1128 cells),112.58969198371807,7.4314757947830685,154,0.7311018959981693,0.04825633632976019
TAM (1128 cells),EMT (989 cells),105.9263988469871,7.075982883767556,142,0.7459605552604726,0.049830865378644756
EMT (989 cells),Endo (138 cells),104.7486814446421,10.864736047016208,175,0.5985638939693835,0.06208420598294976
Endo (138 cells),CAF (1753 cells),100.0593898108352,10.271183668715357,130,0.7696876139295016,0.0790091051439643
EMT (989 cells),CAF (1753 cells),95.7570613079816,7.394690748746183,128,0.7481020414686063,0.057771021474579555
TAM (1128 cells),Endo (138 cells),94.35401947340206,7.291278472962456,127,0.7429450352236383,0.05741164151938942
TAM (1128 cells),CAF (1753 cells),90.59482882503667,5.7231892572522245,103,0.8795614449032687,0.055564944245167225
Endo (138 cells),ETC (3615 cells),89.05167291445258,7.333490785833258,135,0.6596420215885377,0.05432215396913525
EMT (989 cells),ETC (3615 cells),87.72865715865295,8.629905276699724,146,0.6008812134154312,0.05910894025136797
DC (204 cells),TAM (1128 cells),85.65241033290359,6.490986112588928,123,0.6963610596171024,0.05277224481779616
ETC (3615 cells),TAM (1128 cells),84.08589688951372,5.951424106859066,125,0.6726871751161098,0.04761139285487253
ETC (3615 cells),EMT (989 cells),81.44061322302501,8.546017749623507,155,0.5254233111162904,0.05513559838466779
TAM (1128 cells),ETC (3615 cells),80.29704520677508,4.894228381622616,109,0.736670139511698,0.04490117781305152
CAF (1753 cells),DC (204 cells),79.74605614142487,3.956627746982037,83,0.9607958571256009,0.04767021381906068
CAF (1753 cells),TIL (173 cells),79.4121157346722,5.5414111854214205,79,1.0052166548692683,0.07014444538508127
ETC (3615 cells),Endo (138 cells),76.41589842381975,8.47221570761982,142,0.5381401297452095,0.05966349089873113
ETC (3615 cells),ETC (3615 cells),68.54832231712864,6.861469746408236,122,0.5618714944026938,0.05624155529842816
TIL (173 cells),TAM (1128 cells),64.13321007627853,5.779547689008123,76,0.8438580273194544,0.07604668011852794
ETC (3615 cells),CAF (1753 cells),63.42570141989457,5.556698826409732,99,0.6406636507060058,0.05612827097383567
TAM (1128 cells),TIL (173 cells),62.604359881412854,6.204564660748429,68,0.9206523511972479,0.09124359795218277
TAM (1128 cells),DC (204 cells),61.98501569664758,3.393250805355989,67,0.9251494880096653,0.050645534408298346
DC (204 cells),EMT (989 cells),60.923962449121994,3.5198582156958342,108,0.5641107634177962,0.03259127977496143
Endo (138 cells),TIL (173 cells),59.66149597201985,4.033855073064848,69,0.8646593619133311,0.05846166772557751
Endo (138 cells),DC (204 cells),59.48289691677515,2.5439936434335495,71,0.8377872805179598,0.03583089638638802
DC (204 cells),Endo (138 cells),59.19510187357924,3.815028880748137,99,0.5979303219553459,0.03853564526008219
EMT (989 cells),TIL (173 cells),57.42673410696549,3.1260213319600343,66,0.8701020319237196,0.047363959575152034
EMT (989 cells),DC (204 cells),57.214181714525544,2.4124001108303887,71,0.8058335452750077,0.03397746634972378
DC (204 cells),CAF (1753 cells),52.96755685998204,2.8434280141771753,79,0.6704754032909119,0.0359927596731288
DC (204 cells),ETC (3615 cells),48.33319079112924,2.68947048880999,88,0.5492408044446505,0.030562164645568067
ETC (3615 cells),TIL (173 cells),45.93640042410702,2.9687007629906725,58,0.7920069038639141,0.051184495913632284
ETC (3615 cells),DC (204 cells),44.702675249565,2.2283030418429477,63,0.709566273802619,0.03536988955306266
DC (204 cells),DC (204 cells),42.635669977336036,1.9041837494233638,57,0.7479942101287024,0.03340673244602393
DC (204 cells),TIL (173 cells),41.44010688811679,2.927938114577955,52,0.7969251324637844,0.05630650220342221
TIL (173 cells),Endo (138 cells),39.275708442670805,2.263863574331304,57,0.6890475165380843,0.0397169048128299
TIL (173 cells),EMT (989 cells),38.785689427250574,2.15808068132576,55,0.7051943532227377,0.03923783056955927
TIL (173 cells),ETC (3615 cells),36.10292556365424,2.3352377606494916,54,0.6685726956232266,0.04324514371573133
TIL (173 cells),CAF (1753 cells),33.00407196670653,1.787049700815884,43,0.7675365573652683,0.04155929536781126
TIL (173 cells),DC (204 cells),31.318817279513613,2.120617917624442,38,0.8241794020924635,0.05580573467432742
TIL (173 cells),TIL (173 cells),30.662899460709916,3.2605042758244513,33,0.9291787715366642,0.09880315987346822
