p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
4.613216986967772e-15	0.34622601689811305	0.938	0.786	6.555381338481204e-12	0	RSPO3
8.328053047844176e-13	0.34278703629617546	0.929	0.821	1.1834163380986574e-9	0	CCR4
4.827208281064482e-10	0.26729805815246865	0.9	0.729	6.859462967392628e-7	0	SELE
1.0619236413040104e-9	0.31895497294401154	0.867	0.679	1.5089934942929988e-6	0	CADM3
1.396958553592614e-9	1.2565256277703907	0.929	0.75	1.9850781046551046e-6	0	CCL21
9.183343233592287e-9	0.639875027353856	0.905	0.736	1.304953073493464e-5	0	CXCL13
5.5599139663728296e-8	0.2638203231981438	0.919	0.8	7.90063774621579e-5	0	CNR1
1.8152518599375725e-7	0.9953263981185966	0.919	0.8	2.579472892971291e-4	0	CCL19
8.315001179137693e-7	1.2137787115640206	0.905	0.786	0.0011815616675554662	0	CR2
2.978275445550141e-6	0.2967861138658252	0.991	0.836	0.00423212940812675	0	RAMP3
9.5892842921427725e-06	0.3005160236586246	0.81	0.65	0.01362637297913488	0	FGF5
1.5409210684432703e-5	0.33884392045019984	0.858	0.743	0.02189648838257887	0	ADCYAP1
1.557614906171325e-5	0.27243002704230196	0.834	0.636	0.02213370781669453	0	VIP
2.8118442112228247e-5	0.787376662553861	0.573	0.429	0.039956306241476336	0	ADIPOQ
1.7077716535462116e-4	0.3207478423010535	0.654	0.5	0.24267435196891665	0	FCER2
0.0034349010143410437	0.36813283218232806	0.629	0.73	1	1	UNC5D
