Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),,-13,26,16,28133,335,36,11,31,7.7,1235|1238|2532|2798|3576|3973|27202|51554|57007|256933|257313,CCR6|ACKR2|ACKR1|GNRHR|CXCL8|LHCGR|C5AR2|ACKR4|ACKR3|NPB|UTS2B,-8.4,MyList
Reactome Gene Sets,6,R-HSA-500792,GPCR ligand binding,,-12,20,15,28133,467,36,12,33,7.9,1235|1238|2532|2798|3576|3973|7484|27202|51554|57007|256933|257313,CCR6|ACKR2|ACKR1|GNRHR|CXCL8|LHCGR|WNT9B|C5AR2|ACKR4|ACKR3|NPB|UTS2B,-8.4,MyList
Reactome Gene Sets,6,R-HSA-375276,Peptide ligand-binding receptors,,-11,35,17,28133,201,36,9,25,7.2,1235|1238|2532|3576|27202|51554|57007|256933|257313,CCR6|ACKR2|ACKR1|CXCL8|C5AR2|ACKR4|ACKR3|NPB|UTS2B,-7.6,MyList
GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-11,15,12,28133,644,36,12,33,7.9,1235|1238|3273|3491|3576|3730|4856|27202|51554|55848|57007|120425,CCR6|ACKR2|HRG|CCN1|CXCL8|ANOS1|CCN3|C5AR2|ACKR4|PLGRKT|ACKR3|JAML,-7.2,MyList
GO Biological Processes,19,GO:0042330,taxis,19_GO:0040011 locomotion,-11,15,12,28133,646,36,12,33,7.9,1235|1238|3273|3491|3576|3730|4856|27202|51554|55848|57007|120425,CCR6|ACKR2|HRG|CCN1|CXCL8|ANOS1|CCN3|C5AR2|ACKR4|PLGRKT|ACKR3|JAML,-7.2,MyList
GO Biological Processes,19,GO:0060326,cell chemotaxis,19_GO:0040011 locomotion,-9.8,23,14,28133,307,36,9,25,7.2,1235|1238|3273|3576|4856|27202|51554|57007|120425,CCR6|ACKR2|HRG|CXCL8|CCN3|C5AR2|ACKR4|ACKR3|JAML,-6.3,MyList
GO Biological Processes,19,GO:0070098,chemokine-mediated signaling pathway,19_GO:0023052 signaling,-8.8,53,18,28133,88,36,6,17,6.2,1235|1238|2532|3576|51554|57007,CCR6|ACKR2|ACKR1|CXCL8|ACKR4|ACKR3,-5.3,MyList
GO Biological Processes,19,GO:1990868,response to chemokine,19_GO:0050896 response to stimulus,-8.6,48,17,28133,97,36,6,17,6.2,1235|1238|2532|3576|51554|57007,CCR6|ACKR2|ACKR1|CXCL8|ACKR4|ACKR3,-5.2,MyList
GO Biological Processes,19,GO:1990869,cellular response to chemokine,19_GO:0050896 response to stimulus,-8.6,48,17,28133,97,36,6,17,6.2,1235|1238|2532|3576|51554|57007,CCR6|ACKR2|ACKR1|CXCL8|ACKR4|ACKR3,-5.2,MyList
KEGG Pathway,24,hsa04060,Cytokine-cytokine receptor interaction,,-8.1,19,12,28133,328,36,8,22,6.9,1235|1238|3576|8771|51554|56832|57007|163702,CCR6|ACKR2|CXCL8|TNFRSF6B|ACKR4|IFNK|ACKR3|IFNLR1,-4.8,MyList
Reactome Gene Sets,6,R-HSA-380108,Chemokine receptors bind chemokines,,-7.9,66,18,28133,59,36,5,14,5.8,1235|1238|3576|51554|57007,CCR6|ACKR2|CXCL8|ACKR4|ACKR3,-4.6,MyList
Canonical Pathways,11,M5883,NABA SECRETED FACTORS,,-6.6,16,10,28133,343,36,7,19,6.6,2250|3576|7484|27006|27329|55997|56832,FGF5|CXCL8|WNT9B|FGF22|ANGPTL3|CFC1|IFNK,-3.4,MyList
GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-6.5,9.3,8.3,28133,754,36,9,25,7.2,506|1490|3273|3491|3576|4856|27329|55997|57007,ATP5F1B|CCN2|HRG|CCN1|CXCL8|CCN3|ANGPTL3|CFC1|ACKR3,-3.2,MyList
