_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-8.799570883311834,GO:0071674,M1,1,0,GO Biological Processes,19,mononuclear cell migration,19_GO:0040011 locomotion,-8.799570883311834,93.52726063829788,21.435231407824055,28133,94,16,5,31.25,11.587810136086974,5175|6352|6358|6359|6362,PECAM1|CCL5|CCL14|CCL15|CCL18,-4.440665672998787,0,1,1,1,-8.799570883311834,109.89453125,
1,-8.190856141227489,GO:1990266,M1,1,0,GO Biological Processes,19,neutrophil migration,19_GO:0040011 locomotion,-8.190856141227489,70.89969758064517,18.608576099429474,28133,124,16,5,31.25,11.587810136086974,5175|6352|6358|6359|6362,PECAM1|CCL5|CCL14|CCL15|CCL18,-4.25313994564894,0,1,0,0,-8.799570883311834,109.89453125,
1,-8.01573010065716,GO:0071356,M1,1,0,GO Biological Processes,19,cellular response to tumor necrosis factor,19_GO:0050896 response to stimulus,-8.01573010065716,35.52146464646464,14.267235479625588,28133,297,16,6,37.5,12.103072956898178,6352|6358|6359|6362|8771|9370,CCL5|CCL14|CCL15|CCL18|TNFRSF6B|ADIPOQ,-4.25313994564894,0,1,0,0,-8.799570883311834,109.89453125,
1,-7.9300486711683185,GO:0070372,M1,1,0,GO Biological Processes,19,regulation of ERK1 and ERK2 cascade,19_GO:0023052 signaling,-7.9300486711683185,34.36441368078176,14.021778421345862,28133,307,16,6,37.5,12.103072956898178,116|6352|6358|6359|6362|9370,ADCYAP1|CCL5|CCL14|CCL15|CCL18|ADIPOQ,-4.25313994564894,0,1,0,0,-8.799570883311834,109.89453125,
1,-7.814779606788523,GO:0034612,M1,1,0,GO Biological Processes,19,response to tumor necrosis factor,19_GO:0050896 response to stimulus,-7.814779606788523,32.86565420560748,13.697302595145125,28133,321,16,6,37.5,12.103072956898178,6352|6358|6359|6362|8771|9370,CCL5|CCL14|CCL15|CCL18|TNFRSF6B|ADIPOQ,-4.25313994564894,0,1,0,0,-8.799570883311834,109.89453125,
1,-7.789571907134191,GO:0097530,M1,1,0,GO Biological Processes,19,granulocyte migration,19_GO:0040011 locomotion,-7.789571907134191,59.003775167785236,16.934419107887045,28133,149,16,5,31.25,11.587810136086974,5175|6352|6358|6359|6362,PECAM1|CCL5|CCL14|CCL15|CCL18,-4.25313994564894,0,1,0,0,-8.799570883311834,109.89453125,
1,-7.76694711594773,GO:0070371,M1,1,0,GO Biological Processes,19,ERK1 and ERK2 cascade,19_GO:0023052 signaling,-7.76694711594773,32.262614678899084,13.564560290342495,28133,327,16,6,37.5,12.103072956898178,116|6352|6358|6359|6362|9370,ADCYAP1|CCL5|CCL14|CCL15|CCL18|ADIPOQ,-4.25313994564894,0,1,0,0,-8.799570883311834,109.89453125,
1,-7.414915511460181,GO:0071346,M1,1,0,GO Biological Processes,19,cellular response to interferon-gamma,19_GO:0002376 immune system process,-7.414915511460181,49.66984463276836,15.494761020349817,28133,177,16,5,31.25,11.587810136086974,4360|6352|6358|6359|6362,MRC1|CCL5|CCL14|CCL15|CCL18,-3.959100288139077,0,1,0,0,-8.799570883311834,109.89453125,
1,-7.362356760066204,GO:0048247,M1,1,0,GO Biological Processes,19,lymphocyte chemotaxis,19_GO:0040011 locomotion,-7.362356760066204,109.89453125,20.804553126241185,28133,64,16,4,25.0,10.825317547305483,6352|6358|6359|6362,CCL5|CCL14|CCL15|CCL18,-3.9576940591924816,0,1,0,0,-8.799570883311834,109.89453125,
1,-7.22936398912352,GO:0002548,M1,1,0,GO Biological Processes,19,monocyte chemotaxis,19_GO:0040011 locomotion,-7.22936398912352,101.93115942028986,20.023999552905106,28133,69,16,4,25.0,10.825317547305483,6352|6358|6359|6362,CCL5|CCL14|CCL15|CCL18,-3.870458778810473,0,1,0,0,-8.799570883311834,109.89453125,
1,-7.18276087750326,GO:0034341,M1,1,0,GO Biological Processes,19,response to interferon-gamma,19_GO:0002376 immune system process,-7.18276087750326,44.62722081218274,14.658325296522003,28133,197,16,5,31.25,11.587810136086974,4360|6352|6358|6359|6362,MRC1|CCL5|CCL14|CCL15|CCL18,-3.865248352348438,0,1,0,0,-8.799570883311834,109.89453125,
1,-7.1035393170077645,GO:0043408,M1,1,0,GO Biological Processes,19,regulation of MAPK cascade,19_GO:0023052 signaling,-7.1035393170077645,16.63268581081081,10.28029236261582,28133,740,16,7,43.75,12.401959270615269,116|6352|6358|6359|6362|9370|100133941,ADCYAP1|CCL5|CCL14|CCL15|CCL18|ADIPOQ|CD24,-3.823815352742342,0,1,0,0,-8.799570883311834,109.89453125,
1,-7.003662460374318,GO:0070374,M1,1,0,GO Biological Processes,19,positive regulation of ERK1 and ERK2 cascade,19_GO:0048518 positive regulation of biological process,-7.003662460374318,41.08206775700935,14.040509911572641,28133,214,16,5,31.25,11.587810136086974,116|6352|6358|6359|6362,ADCYAP1|CCL5|CCL14|CCL15|CCL18,-3.758700602368107,0,1,0,0,-8.799570883311834,109.89453125,
1,-6.943909805780192,GO:0097529,M1,1,0,GO Biological Processes,19,myeloid leukocyte migration,19_GO:0040011 locomotion,-6.943909805780192,39.96164772727273,13.839525595631127,28133,220,16,5,31.25,11.587810136086974,5175|6352|6358|6359|6362,PECAM1|CCL5|CCL14|CCL15|CCL18,-3.7311326311453823,0,1,0,0,-8.799570883311834,109.89453125,
1,-6.801241253023579,GO:0070098,M1,1,0,GO Biological Processes,19,chemokine-mediated signaling pathway,19_GO:0023052 signaling,-6.801241253023579,79.92329545454545,17.68864761249995,28133,88,16,4,25.0,10.825317547305483,6352|6358|6359|6362,CCL5|CCL14|CCL15|CCL18,-3.6184273017662134,0,1,0,0,-8.799570883311834,109.89453125,
