_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.1,C0019348,M1,1,0,DisGeNET,35,Herpes Simplex Infections,,-6.1,13,8.8,28133,645,24,7,29,9.3,575|3491|3576|4301|4360|5818|5819,ADGRB1|CCN1|CXCL8|AFDN|MRC1|NECTIN1|NECTIN2,-1.8,0
1,-6,C0032371,M1,1,0,DisGeNET,35,Poliomyelitis,,-6,1.5e+02,21,28133,23,24,3,12,6.8,4360|5819|81607,MRC1|NECTIN2|NECTIN4,-1.8,0
1,-5.5,C0151779,M1,1,0,DisGeNET,35,Cutaneous Melanoma,,-5.5,14,8.5,28133,507,24,6,25,8.8,3576|4241|4321|4360|57007|64115,CXCL8|MELTF|MMP12|MRC1|ACKR3|VSIR,-1.4,0
1,-4.9,C0403824,M1,1,0,DisGeNET,35,Teratozoospermia,,-4.9,66,14,28133,53,24,3,12,6.8,5818|5819|25945,NECTIN1|NECTIN2|NECTIN3,-1.1,0
1,-4.7,C3714636,M1,1,0,DisGeNET,35,Pneumonitis,,-4.7,10,7.1,28133,696,24,6,25,8.8,3491|3576|4321|4360|57007|64115,CCN1|CXCL8|MMP12|MRC1|ACKR3|VSIR,-0.97,0
1,-4.6,C1658953,M1,1,0,DisGeNET,35,tumor vasculature,,-4.6,23,9.3,28133,200,24,4,17,7.6,3491|3576|4360|57007,CCN1|CXCL8|MRC1|ACKR3,-0.97,0
1,-4.4,C0030186,M1,1,0,DisGeNET,35,Paget Disease Extramammary,,-4.4,45,11,28133,79,24,3,12,6.8,4321|4360|57007,MMP12|MRC1|ACKR3,-0.78,0
1,-4.3,C0013537,M1,1,0,DisGeNET,35,Eclampsia,,-4.3,19,8.4,28133,241,24,4,17,7.6,3491|3576|57007|81607,CCN1|CXCL8|ACKR3|NECTIN4,-0.76,0
1,-4.2,C0281361,M1,1,0,DisGeNET,35,Adenocarcinoma of pancreas,,-4.2,11,6.9,28133,518,24,5,21,8.3,3576|4360|5818|25945|57007,CXCL8|MRC1|NECTIN1|NECTIN3|ACKR3,-0.69,0
1,-4.2,C1536220,M1,1,0,DisGeNET,35,ST segment elevation myocardial infarction,,-4.2,18,8,28133,264,24,4,17,7.6,3491|3576|4321|57007,CCN1|CXCL8|MMP12|ACKR3,-0.69,0
1,-4,C4721806,M1,1,0,DisGeNET,35,"Carcinoma, Basal Cell",,-4,11,6.6,28133,557,24,5,21,8.3,3491|3576|4321|4360|57007,CCN1|CXCL8|MMP12|MRC1|ACKR3,-0.67,0
1,-3.9,C0025007,M1,1,0,DisGeNET,35,Measles,,-3.9,31,9.4,28133,113,24,3,12,6.8,3576|4360|81607,CXCL8|MRC1|NECTIN4,-0.62,0
1,-3.9,C0030809,M1,1,0,DisGeNET,35,Pemphigus Vulgaris,,-3.9,31,9.3,28133,115,24,3,12,6.8,3576|4321|4360,CXCL8|MMP12|MRC1,-0.62,0
1,-3.8,C0007682,M1,1,0,DisGeNET,35,CNS disorder,,-3.8,15,7.2,28133,319,24,4,17,7.6,3576|4321|57007|64115,CXCL8|MMP12|ACKR3|VSIR,-0.59,0
