lr_pair,pval,median_day_low,median_day_high,diff_day
ICOSLG->CTLA4,1.76194962649312e-4,165.5,216,50.5
ICAM4->ITGAL,2.2873388973643216e-4,185.5,181,-4.5
ICOSLG->CD28,2.53420855117481e-4,181,216,35
SHH->SMO,2.819635565262102e-4,159.5,197,37.5
CSF2->CSF2RB,3.8049029721998195e-4,182,188,6
TNFSF13->TNFRSF17,5.325274869196761e-4,153,334,181
ICAM5->ITGAL,5.866221607705446e-4,185.5,181,-4.5
ICOS->ICOSLG,6.467525804163543e-4,165.5,216,50.5
ICOSLG->ICOS,6.467525804163543e-4,165.5,216,50.5
NXPH3->NRXN2,6.667249153795574e-4,156.5,202,45.5
TNFSF13->TNFRSF13B,6.851302845860552e-4,154,329,175
ALKAL1->LTK,7.126675774107305e-4,181,195.5,14.5
ALKAL2->LTK,7.126675774107305e-4,181,195.5,14.5
GDNF->GFRA2,8.825004360798472e-4,195.5,164,-31.5
QRFP->P2RY14,0.0012625712067714234,182,194,12
CCL22->ACKR2,0.0015885075561111739,188.5,181,-7.5
IL20->IL20RB,0.0016927963156737613,164,194,30
IL26->IL20RB,0.0016927963156737613,164,194,30
TNFSF13->FAS,0.0017947395215340833,162.5,247,84.5
DHH->PTCH2,0.001956439772643037,182,194,12
DKK4->KREMEN2,0.001986500191439755,162.5,247,84.5
GHRL->GHSR,0.002004713308797923,181,219,38
IL3->CSF2RB,0.0020307239977160885,188.5,179,-9.5
IL5->CSF2RB,0.0020307239977160885,188.5,179,-9.5
GRN->TNFRSF1B,0.002126488489775813,158,202,44
IL19->IL20RB,0.0022049641700547795,165.5,194,28.5
CORT->SSTR5,0.002307434173199341,180,194,14
IL24->IL20RB,0.002342005459372354,173,188,15
CCL21->CCR7,0.002480475357360956,182,194,12
TNFSF13->TNFRSF14,0.002504927842269411,172.5,239,66.5
ANGPT1->TIE1,0.0027457436581026506,181,194,13
RELN->LRP8,0.0027599376884970273,195.5,181,-14.5
MMRN2->CLEC14A,0.002874232506110741,172.5,216,43.5
CCL26->CCR2,0.002909229920840195,182,194,12
CCL16->CCR2,0.0031408020390955027,191,181,-10
DEFB103B->CCR2,0.0031408020390955027,191,181,-10
