Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-HSA-420597,Nectin/Necl  trans heterodimerization,,-12,1.5e+03,76,28133,7,11,4,36,15,5818|5819|25945|81607,NECTIN1|NECTIN2|NECTIN3|NECTIN4,-9.1
MyList,Reactome Gene Sets,6,R-HSA-418990,Adherens junctions interactions,,-12,3.9e+02,44,28133,33,11,5,45,15,4301|5818|5819|25945|81607,AFDN|NECTIN1|NECTIN2|NECTIN3|NECTIN4,-8.9
MyList,Reactome Gene Sets,6,R-HSA-421270,Cell-cell junction organization,,-11,2e+02,31,28133,64,11,5,45,15,4301|5818|5819|25945|81607,AFDN|NECTIN1|NECTIN2|NECTIN3|NECTIN4,-7.6
MyList,KEGG Pathway,24,ko04520,Adherens junction,,-10,1.8e+02,30,28133,72,11,5,45,15,4301|5818|5819|25945|81607,AFDN|NECTIN1|NECTIN2|NECTIN3|NECTIN4,-7.3
MyList,KEGG Pathway,24,hsa04520,Adherens junction,,-10,1.6e+02,28,28133,81,11,5,45,15,4301|5818|5819|25945|81607,AFDN|NECTIN1|NECTIN2|NECTIN3|NECTIN4,-7.1
MyList,Reactome Gene Sets,6,R-HSA-446728,Cell junction organization,,-9.8,1.4e+02,26,28133,91,11,5,45,15,4301|5818|5819|25945|81607,AFDN|NECTIN1|NECTIN2|NECTIN3|NECTIN4,-6.9
MyList,Canonical Pathways,11,M72,PID NECTIN PATHWAY,,-9.5,3.4e+02,37,28133,30,11,4,36,15,4301|5818|5819|25945,AFDN|NECTIN1|NECTIN2|NECTIN3,-6.5
MyList,Reactome Gene Sets,6,R-HSA-1500931,Cell-Cell communication,,-9.1,99,22,28133,129,11,5,45,15,4301|5818|5819|25945|81607,AFDN|NECTIN1|NECTIN2|NECTIN3|NECTIN4,-6.2
MyList,GO Biological Processes,19,GO:0034332,adherens junction organization,19_GO:0071840 cellular component organization or biogenesis,-8.7,85,20,28133,150,11,5,45,15,4301|5818|5819|25945|81607,AFDN|NECTIN1|NECTIN2|NECTIN3|NECTIN4,-5.8
MyList,GO Biological Processes,19,GO:0034330,cell junction organization,19_GO:0071840 cellular component organization or biogenesis,-7.1,40,14,28133,317,11,5,45,15,4301|5818|5819|25945|81607,AFDN|NECTIN1|NECTIN2|NECTIN3|NECTIN4,-4.3
MyList,GO Biological Processes,19,GO:0044409,entry into host,19_GO:0051704 multi-organism process,-6.6,66,16,28133,154,11,4,36,15,3576|5818|5819|81607,CXCL8|NECTIN1|NECTIN2|NECTIN4,-3.8
MyList,GO Biological Processes,19,GO:0051806,entry into cell of other organism involved in symbiotic interaction,19_GO:0051704 multi-organism process,-6.6,66,16,28133,154,11,4,36,15,3576|5818|5819|81607,CXCL8|NECTIN1|NECTIN2|NECTIN4,-3.8
MyList,GO Biological Processes,19,GO:0030260,entry into host cell,19_GO:0051704 multi-organism process,-6.6,66,16,28133,154,11,4,36,15,3576|5818|5819|81607,CXCL8|NECTIN1|NECTIN2|NECTIN4,-3.8
MyList,GO Biological Processes,19,GO:0051828,entry into other organism involved in symbiotic interaction,19_GO:0051704 multi-organism process,-6.5,66,16,28133,155,11,4,36,15,3576|5818|5819|81607,CXCL8|NECTIN1|NECTIN2|NECTIN4,-3.8
MyList,GO Biological Processes,19,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,19_GO:0022610 biological adhesion,-6.4,61,15,28133,169,11,4,36,15,5818|5819|25945|81607,NECTIN1|NECTIN2|NECTIN3|NECTIN4,-3.7
MyList,GO Biological Processes,19,GO:0007157,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,19_GO:0022610 biological adhesion,-6.1,1.6e+02,22,28133,47,11,3,27,13,5818|25945|81607,NECTIN1|NECTIN3|NECTIN4,-3.4
MyList,GO Biological Processes,19,GO:0051701,interaction with host,19_GO:0051704 multi-organism process,-5.9,46,13,28133,224,11,4,36,15,3576|5818|5819|81607,CXCL8|NECTIN1|NECTIN2|NECTIN4,-3.2
MyList,GO Biological Processes,19,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,19_GO:0022610 biological adhesion,-5.6,37,12,28133,275,11,4,36,15,5818|5819|25945|81607,NECTIN1|NECTIN2|NECTIN3|NECTIN4,-3
MyList,GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-5.3,17,8.9,28133,734,11,5,45,15,506|3491|3576|4241|4301,ATP5F1B|CCN1|CXCL8|MELTF|AFDN,-2.7
MyList,GO Biological Processes,19,GO:0019058,viral life cycle,19_GO:0051704 multi-organism process,-5.1,29,11,28133,349,11,4,36,15,3576|5818|5819|81607,CXCL8|NECTIN1|NECTIN2|NECTIN4,-2.6
MyList,WikiPathways,27,WP3888,VEGFA-VEGFR2 Signaling Pathway,,-4.8,24,9.4,28133,435,11,4,36,15,3491|3576|4301|57007,CCN1|CXCL8|AFDN|ACKR3,-2.2
